Title,Link,Description,Tags
Advocate Graduate Stipend Gujarat,https://www.myscheme.gov.in/schemes/agsg,"Under this scheme, junior lawyers receive stipends up to ₹10,000 per month and their senior advocates receive an allowance of ₹5,000 per month.","Stipend, Advocate, Law, Scheduled Tribes, Youth"
Nari Adalat,https://www.myscheme.gov.in/schemes/nari-adalat,"Nari Adalat, a component of the ""Sambal"" sub-scheme under Mission Shakti, it aims to provide women with an alternate Grievance Redressal Mechanism for resolving cases of petty nature (harassment, subversion, curtailment of rights or entitlements) faced by them at Gram panchayat level.","Nari Adalat, Nyaya Sakhi, Women Grievance Redressal, Affordable Justice, Women Collectives"
"Awareness Programme on Child/Human Trafficking, Family Planning, Legal Awareness, Health etc.",https://www.myscheme.gov.in/schemes/apchtfplahe,"The scheme aims to generate awareness among the Tea Tribes and Adivasi community regarding child/human trafficking, family planning, legal awareness, and health. It generates awareness benefits for the Tea Tribes and Adivasi community through Non-Governmental Organizations proposals.","Health, Legal, Child, Family, Alcoholism, Mortality"
Assistance under SC/ST Prevention of Atrocities Act,https://www.myscheme.gov.in/schemes/auscstpaa,"The scheme “Assistance under SC/ST Prevention of Atrocities Act” was introduced by the Adi Dravidar Welfare Department, Government of Puducherry. The objective of the scheme is to provide immediate relief to the victims of atrocities who are from Scheduled Castes/ Scheduled Tribes.","Scheduled Caste, Rehabilitation, Relief, Compensation"
Advocate Graduate Stipend Gujarat,https://www.myscheme.gov.in/schemes/agsg,"Under this scheme, junior lawyers receive stipends up to ₹10,000 per month and their senior advocates receive an allowance of ₹5,000 per month.","Stipend, Advocate, Law, Scheduled Tribes, Youth"
Operation/implementation of Vidhik Seva Rath,https://www.myscheme.gov.in/schemes/vsrksk,"The scheme aims to spread legal awareness and provide information about welfare schemes to people in both urban and remote rural areas, ensuring that citizens are informed about their rights and available government benefits.","Free Book, Legal Awareness, Mobile Van, Vidhik Seva Rath, Legal Services"
Mission Shakti- DNH & DD,https://www.myscheme.gov.in/schemes/shakti,"Mission Shakti is a Government of India umbrella scheme (2021–26) for women’s safety, security, and empowerment. It follows a life-cycle approach via Sambal (safety) and Samarthya (empowerment), strengthening services like One Stop Centres, Women Helpline (181), and Shakti Sadans.","Sambal, Samarthya, One Stop Centre, Women Helpline 181, Beti Bachao Beti Padhao, Nari Adalat, Pradhan Mantri Matru Vandana Yojana, Shakti Sadan, Sakhi Niwas, Palna, SANKALP Hub For Empowerment Of Women"
Chief Minister’s Award for Excellence in Public Administration,https://www.myscheme.gov.in/schemes/cmaepap,"The scheme aims to recognize and reward innovative and extraordinary work done by a team of officials to encourage good governance, high standards of services, and replication of best practices. It recognizes outstanding and exemplary performance by a team of officials with a scroll and cash award.","Award, Administration, Governance, Excellence"
"Information, Monitoring, Evaluation and Social Audit (I-MESA): Central Smart Surveillance Unit (CSSU)",https://www.myscheme.gov.in/schemes/i-mesa-cssu,The component aims to establish a Central Smart Surveillance Unit for continuous remote supervision of all Central Government-funded Grant-in-aid institutions and Training and Coaching centres using Closed-Circuit Television cameras and electronic devices.,"Institution, Surveillance, Monitoring, Supervision, Grant"
Goa Village & Municipal Child Committee Grants And Awards Scheme,https://www.myscheme.gov.in/schemes/gvmccgs,"GVMCCGS awards the Panchayats / Municipal Local Bodies to discuss and resolve the issues relating to children. The winner is awarded an annual financial grant of ₹ 10,000/- towards administrative expenses incurred on organizing the activities of the Committee.","Child Rights, Award, Panchayat, Municipal, Village"
