Title,Link,Description,Tags
Credit Linked Subsidy Scheme for Middle Income Group,https://www.myscheme.gov.in/schemes/clssmig,"Under Credit Linked Subsidy Scheme, beneficiaries of Middle-Income Group (MIG) can seek housing loans from Banks, Housing Finance Companies and other such institutions for acquisition/ construction of house (including re-purchase).","Credit Linked, Subsidy, Loan, House, MIG, CLSS"
Halpati Housing Scheme,https://www.myscheme.gov.in/schemes/hhs,"Under this scheme, ₹1,20,000 financial assistance is provided for self-constructed houses in rural south Gujarat to support housing needs of Halpati (Talaviya, Nayaka) caste members included in Scheduled Tribes.","Housing, Financial Assistance, Schedule Tribe, Rural Development"
Garima Greh Shelter Homes For Transgender Persons,https://www.myscheme.gov.in/schemes/smile,"Garima Greh aims to provide shelter to Destitute & abandoned Transgender persons with basic amenities like shelter, food, medical care and recreational facilities.","Transgender, Shelter Home, Accomodation, Rehabilitation"
Maintenance of Govt Boys and Girls Hostels (SC),https://www.myscheme.gov.in/schemes/mgbghsc,"Under this scheme, it provides free hostel, food, and academic facilities to scheduled caste students pursuing post-SSC education.","Student, Hostel, Textbooks, Free Meal, Education"
Mamasaheb Phadke Management of Govt Adarsh ​​Residential Schools (SC) Scheme,https://www.myscheme.gov.in/schemes/mpmgarssc,"The scheme aims to expand access to quality residential education for scheduled caste students in standards 9 to 12. Through this scheme, eligible SC students receive free boarding, lodging, textbooks, uniforms, meals, and additional support services to enhance academic participation.","Hostel, Student, Textbooks, Uniform, Scheduled Caste"
100% Penalty Mafi Yojana,https://www.myscheme.gov.in/schemes/1pmy,The scheme aims to provide financial relief to beneficiaries of the Gujarat Housing Board and Slum Clearance Cell who have pending installment dues by offering a complete waiver of penalty amounts. It benefits tenants and property allottees by waiving 100% penalties on arrears if paid by 31st March.,"Housing, Penalty, Waiver, Tenant, Urban"
Pandit Dindayal Upadhyay Awas Yojana-Developing Caste Welfare,https://www.myscheme.gov.in/schemes/pduaydcw,"The ""Pandit Dindayal Upadhyay Awas Yojana-Developing Caste Welfare"" provides financial assistance of up to ₹1,20,000/- to socially and educationally backward classes, economically backward classes, and nomadic exempted castes for constructing houses across Gujarat.","Housing, Socially And Educationally Backward Class, Economically Backward Class, Nomadic Exempted Caste"
Pandit Dindayal Upadhyay Awas Yojana (Developing Caste Welfare) (NT-DNT),https://www.myscheme.gov.in/schemes/pduayntdnt,"The ""Pandit Dindayal Upadhyay Awas Yojana (Developing Caste Welfare) (NT-DNT)"" provides financial assistance of up to ₹1,20,000/- to the people belonging to Nomadic Tribes and Denotified Tribes.","Housing, Nomadic And Denotified Tribe, Social Welfare"
Youth Hostel Scheme,https://www.myscheme.gov.in/schemes/yhs,The Youth Hostel Scheme is a joint venture of the Central and State Governments of India. It was launched in the early 1960s to promote youth travel within the country by providing low-cost budget accommodation and facilities to students and youth groups traveling on excursions or study tours.,"Shelter, Youth Hostel, Residence"
100% Penalty Mafi Yojana,https://www.myscheme.gov.in/schemes/1pmy,The scheme aims to provide financial relief to beneficiaries of the Gujarat Housing Board and Slum Clearance Cell who have pending installment dues by offering a complete waiver of penalty amounts. It benefits tenants and property allottees by waiving 100% penalties on arrears if paid by 31st March.,"Housing, Penalty, Waiver, Tenant, Urban"
AVYAY - National Action Plan for Senior Citizens: Health and Shelter for Senior Citizens,https://www.myscheme.gov.in/schemes/avyay-napsc-hssc,"The scheme aims to improve the quality of life of Senior Citizens, particularly those who are indigent, by providing basic amenities like shelter, food, medical care and entertainment opportunities. The scheme provides financial assistance for projects such as maintenance of Senior Citizen Homes.","Shelter, Healthcare, Welfare, Senior Citizen, Health"
