Title,Link,Description,Tags
Janani Shishu Suraksha Karyakram,https://www.myscheme.gov.in/schemes/jssk,"A scheme by Ministry of MoHFW for pregnant women who access government health facilities for their delivery. to absolutely free and no expense delivery, including caesarean section. Essential care is provided to the mother and her neonate within 48 hours.","Pregnant, Newborn, Medicine, Free Diet, Woman"
Janani Suraksha Yojana (JSY),https://www.myscheme.gov.in/schemes/jsy1,"The scheme aims to reduce maternal and neonatal mortality by promoting institutional deliveries among poor pregnant women. It offers cash assistance for institutional and home deliveries, along with antenatal and postnatal care support, primarily benefiting poor pregnant women across India.","Pregnancy, Woman, Female, Delivery, Child, Health"
Kumar Rajratna Bhimrao Ambedkar Medical Assistance Scheme,https://www.myscheme.gov.in/schemes/krbamas,"The scheme aims to provide financial support to individuals belonging to SC category suffering from incurable & serious diseases. Under this scheme, Medical Assistance is provided to Scheduled Caste patients diagnosed with life-threatening conditions such as TB, Leukemia, & other critical illnesses.","Medical Assistance, Disease, Scheduled Caste, Medical Aid, Treatment"
Mukhyamantri Matrupushti Uphar,https://www.myscheme.gov.in/schemes/mmus,"The scheme “Mukhyamantri Matrupushti Uphar” was launched by the Directorate of Social Welfare and Social Education, Government of Tripura, to provide financial assistance of ₹500/- to pregnant women through Direct Benefit Transfer (DBT) for antenatal checkups at any health facility.","Women, Pregnant, Medical, Financial Assistance"
Surakshit Matritva Aashwasan Yojana,https://www.myscheme.gov.in/schemes/suman,SUMAN Yojana is a maternity benefit initiative by MoH&FW. This program provides affordable and quality healthcare solutions to pregnant women and newborns. The scheme provides zero expense access up to six months after delivery. Upto antenatal check-ups during the 1st trimester are provided.,"Pregnant, Health"
Swachh Bharat Mission – Urban 2.0,https://www.myscheme.gov.in/schemes/sbm-u,A sanitation scheme for the construction of Individual Household Latrines (IHHL) for urban households.,"Toilet, Sanitation"
Swachh Bharat Mission (Grameen) Phase II,https://www.myscheme.gov.in/schemes/sbm-g-ii,A sanitation scheme for Visual cleanliness through Open Defecation Free (ODF) sustainability and effective management of solid and liquid waste in villages.,"Swachh Bharat, Toilet, Sanitation, Rural, Grameen"
Swachh Bharat Mission – Grameen PHASE I,https://www.myscheme.gov.in/schemes/sbm-g-i,The scheme aims to eliminate open defecation and improve rural sanitation by supporting toilet construction and promoting usage among poor and marginalized rural households.,"Sanitation, Toilet, Grameen, Swachh Bharat"
Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,https://www.myscheme.gov.in/schemes/ab-pmjay,"AB PM-JAY is a health insurance scheme for low-income families in rural and urban areas. The scheme aims to provide affordable healthcare facilities to the Poor. It is the largest health assurance scheme in the world which aims at providing a health cover of ₹5,00,000/- per family per year.","Health, Insurance"
Distribution of Female Menstrual Hygiene Kit for the Construction Workers,https://www.myscheme.gov.in/schemes/dfmkftcw,"The ""Distribution of Female Menstrual Hygiene Kit for the Construction Workers'' by the BOCW Welfare Board, Labour Department, U.T. Administration of DNH & DD, is a welfare scheme that provides Menstrual Hygiene Kit to registered female beneficiaries.","Labour, Building Worker, Construction Worker, Promoting Registration, Menstrual Hygiene Kit, Female, Health, Wellness"
