Title,Link,Description,Tags
Indira Gandhi National Disability Pension Scheme,https://www.myscheme.gov.in/schemes/igndps,A non-contributory pension scheme to provide social security to Divyangjans aged 18 and above who belong to a poor family (BPL) in society.,"Differently Abled, Pension, Below Poverty Line - BPL"
Indira Gandhi National Widow Pension Scheme,https://www.myscheme.gov.in/schemes/ignwps,A non-contributory pension scheme to provide social security to widows of poor family (BPL)  of the society.,"Widow, Pension, Below Poverty Line - BPL"
Financial Loan for Training of Commercial Pilot,https://www.myscheme.gov.in/schemes/flftcp,"The scheme aims to support students from Socially and Educationally Backward Classes (SEBC) in obtaining Commercial Pilot License (CPL) training through financial assistance. Under this scheme, a loan of up to ₹25,00,000 is offered at a concessional interest rate of 4% per annum to the students.....","Loan, Training, Opportunity, Skill Development, Interest Rate, SEBC"
Education Loan Scheme under NSFDC- Haryana,https://www.myscheme.gov.in/schemes/elsnsfdc,This scheme offers educational loans of up to ₹10 lakhs for studies within India and up to ₹30 lakhs for studies abroad. These loans are available to eligible students pursuing regular full-time recognized courses in India or abroad.,"NSFDC, HSFDC, Education Loan, Scheduled Caste, Student"
Education Loan Scheme under NSKFDC- Haryana,https://www.myscheme.gov.in/schemes/elsnskfdch,This scheme offers educational loans of up to ₹10 lakhs for studies within India and up to ₹20 lakhs for studies abroad. These loans are available to eligible students pursuing regular full-time recognized professional/technical courses in India or abroad.,"Education Loan, NSKFDC, HSFDC, Safai Karamcharis, Students, Abroad"
Industrial Sector Scheme (HSFDC),https://www.myscheme.gov.in/schemes/isshsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from BPL families, whose annual family income does not exceed ₹1,80,000/-, in both rural & urban areas for various self-employment income-generating activities such as carpentry, leather and leather goods manufacturing, etc.","Industrial Sector, HSFDC, Loan, BPL, Scheduled Caste, Trade, Business, Self-Employment"
Loan Based Schemes For Safai Karamchari - General Term Loan (GTL),https://www.myscheme.gov.in/schemes/lbssf-gtl,"A general term loan scheme by the Ministry of Social justice and Empowerment for Safai Karamchari, Manual Scavengers, and their dependants aged 18 years and above.","Safai Karamcharis, Entrepreneurship, Loan, Financial Assistance, Credit, Sanitation, Manual Scavengers, Waste Pickers"
Loan Based Schemes For Safai Karamchari - Education Loan Scheme (ELS),https://www.myscheme.gov.in/schemes/lbssf-els,"An Education Loan scheme by the Ministry of Social justice and Empowerment for Safai Karamchari, Manual Scavengers, and their dependents aged 18 years and above.","Professional Course, Technical Course, Education Loan, Student, Manual Scavengers, Waste Pickers, Safai Karamcharis"
Loan For Foreign Study (S.E.B.C.),https://www.myscheme.gov.in/schemes/lfs-sebc,"The scheme aims to support higher education abroad for eligible students from the Socially and Educationally Backward Class (SEBC). It provides a maximum Foreign Study Loan of ₹15,00,000/- at an annual interest rate of 4% to SEBC students.","Student, Loan, Education, Mortgage, College"
Loan For Foreign Study (E.B.C.),https://www.myscheme.gov.in/schemes/lfs-ebc,"The scheme aims to support higher education abroad for eligible students from the Educationally Backward Class (EBC). It provides a maximum Foreign Study Loan of ₹15,00,000/- at an annual interest rate of 4% to EBC students.","Loan, Student, Education, College, Finance"
Loan for Small Businesses (DAADC),https://www.myscheme.gov.in/schemes/sbsdaadc,"The scheme aims to promote self-employment among Scheduled Caste individuals belonging to Antyodaya Anna Yojana families by providing financial assistance for starting small businesses. Under this scheme, eligible beneficiaries are provided a loan of upto ₹1,25,000/- at a concessional interest rate.","Loan, Self-employment, Scheduled Caste, Small Business, Antyodaya Family"
Loan for Training of Commercial Pilot (GUEEDC),https://www.myscheme.gov.in/schemes/ltcpg,"The scheme ""Loan for Training of Commercial Pilot (GUEEDC)"" by the Social Justice and Empowerment Department, Gujarat, provides financial loan assistance of up to ₹25,00,000/- at 4% simple interest per annum is provided to Unreserved category candidates for pursuing commercial pilot training.","Loan, Education Loan, Commercial Pilot Training"
Mahila Samman Savings Certificate,https://www.myscheme.gov.in/schemes/mssc,"The scheme “Mahila Samman Savings Certificate” was launched by the Department of Economic Affairs, Ministry of Finance to provide financial security to every girl and woman in India.","Mahila, Woman, Girl, Saving, Investment"
