Title,Link,Description,Tags
Cluster Development Scheme,https://www.myscheme.gov.in/schemes/cds-g,"The scheme aims to enhance the productivity and competitiveness as well as capacity building of Micro and Small Enterprises through cluster development approach. It provides various assistance including training, subsidies, and marketing facilities to clusters of 25 or more artisans.","Artisan, Training, Subsidy, Marketing, Handicraft, Enterprise"
Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana,https://www.myscheme.gov.in/schemes/cvy-sumcy,"The scheme “Skill Upgradation and Mahila Coir Yojana” is a component of “Coir Vikas Yojana” and the scheme was launched by the Ministry of Micro, Small & Medium Enterprises, Government of India.","Coir, Skill Upgradation, Mahila, MSME, Stipend, Training, Entrepreneur, Self-employment"
Comprehensive Handicrafts Cluster Development Programme,https://www.myscheme.gov.in/schemes/chcdp,The Comprehensive Handicrafts Cluster Development Scheme was launched to create a world-class infrastructure that will cater to the business needs of local artisans & SMEs in order to boost production and export.,"Local Artisans, Infrastructural Support, Technology Upgradation, Market Access"
Employees' Pension Scheme,https://www.myscheme.gov.in/schemes/eps,"The scheme ensures retirement security for employees covered under the EPF Act, offering monthly pensions, family pensions, and withdrawal benefits. It targets workers in organised sectors, providing financial support post-retirement, during disability, or to dependents after the member’s death.","Employment, Pension, Retirement, Senior Citizen, EPFO"
Entrepreneurship and Skill Development Programme,https://www.myscheme.gov.in/schemes/esdp,"The O/o DC-MSME under ""Development of MSMEs"" vertical has launched the ""Entrepreneurship and Skill Development Programme (ESDP)"". The Programme is being organized regularly to nurture the talent of youth by enlightening them on various aspects of industrial/business activity required for setting up","Entrepreneurship, Skill Development, MSME, ESDP, Self-employment"
ICAR Emeritus Professor,https://www.myscheme.gov.in/schemes/icar-ep,"The ICAR floated the Scheme of Emeritus Professor in order to provide an opportunity to the superannuated teachers/ Scientists of universities, colleges and institutions under ICAR-AU System.","ICAR, Emeritus, Professor, Retired"
ICAR Emeritus Scientist,https://www.myscheme.gov.in/schemes/icar-es,"The ICAR Emeritus Scientist Scheme is a structural method of tapping the Brain and skill bank of the outstanding superannuated professionals of NARS by allowing them to complete the work in hand for its fruitful conclusion, and utilize their talent in teaching specialized courses.","Emeritus, Scientist, Retirement"
Financial Loan for Training of Commercial Pilot,https://www.myscheme.gov.in/schemes/flftcp,"The scheme aims to support students from Socially and Educationally Backward Classes (SEBC) in obtaining Commercial Pilot License (CPL) training through financial assistance. Under this scheme, a loan of up to ₹25,00,000 is offered at a concessional interest rate of 4% per annum to the students.....","Loan, Training, Opportunity, Skill Development, Interest Rate, SEBC"
Mobile Food Court Van (DAADC),https://www.myscheme.gov.in/schemes/mfcvs,"The scheme aims to generate self-employment opportunities in the food and beverage sector by providing credit to unemployed scheduled caste individuals belonging to Antyodaya families. Under this scheme, loans are provided to the eligible beneficiaries at a concessional interest rate.","Loan, Self-employment, Scheduled Caste, Antyodaya, Food Court Van"
Term Loan Scheme (GSKVN),https://www.myscheme.gov.in/schemes/dcs-tl,"The scheme aims to uplift scavengers & their dependents by offering term loans of ₹1,00,000/- to ₹15,00,000/- to support them in starting self‐employment ventures in various trades & professions, enabling them to pursue income‐generating activities and lead dignified lives.","Loan, Self-employment, Safai Kamdar, Scavenger"
The Lokpal of India Internship Scheme,https://www.myscheme.gov.in/schemes/tloiis,"The Lokpal of India launched the Internship Scheme for the interns to learn about the implementation of the Lokpal & Lokayuktas Act, the Prevention of Corruption Act, the Central Vigilance Commission Act, & they can contribute towards the effective functioning of the Lokpal of India with fresh ideas","Financial Assistance, Student, Internship, Stipend"
