Title,Link,Description,Tags
High Risk - High Reward Research,https://www.myscheme.gov.in/schemes/hr-hrr,"The Scheme for Funding ""High Risk - High Reward Research"" aims at supporting proposals that are conceptually new & risky, & if successful, expected to have a paradigm-shifting influence on the S&T.","High Risk, High Reward, Research, Project, Research Grant"
Indo-French Postdoctoral Research Programme for Women in Science,https://www.myscheme.gov.in/schemes/prowis-i,This programme will provide a platform for women candidates to engage & work with Indian/French scientific communities with an aim to accelerate their talented instincts towards carrying out advanced studies and research in the frontier areas of Science & Technology.,"Postdoctoral, Research, Woman, Science, French, Fellowship, CEFIPRA"
Indo-French Visiting/Mobility Programme for Women in Science,https://www.myscheme.gov.in/schemes/prowis-ii,This programme will encourage women candidates to work with the Indian/French scientific communities with an aim to accelerate their talented instincts towards carrying out advanced studies and research in the frontier areas of Science & Technology.,"French, Mobility, Woman, Science, France, Scientist, Researcher"
J.C. Bose Fellowship,https://www.myscheme.gov.in/schemes/jcbs,The “J.C. Bose fellowship” is awarded to active scientists in recognition of their outstanding performance. The fellowship is scientist-specific and very selective.,"Fellowship, Science, Research, Scientist, Bose"
Mobility Scheme,https://www.myscheme.gov.in/schemes/msdst,"The Mobility Scheme is aimed to provide an opportunity to women scientists who are facing difficulties in their present job due to relocation (marriage, transfer of husband to any other location within the country, attending ailing parents, and accompanying children studying in different city).","Women Scientist, KIRAN, Fellowship, Mobility, Academicians, Capacity Building"
Teachers Associateship for Research Excellence,https://www.myscheme.gov.in/schemes/tare,"The scheme “Teachers Associateship for Research Excellence (TARE)” was launched by Science & Engineering Research Board, Department of Science & Technology, Government of India which aims to facilitate mobility of faculty members working in State Universities /Colleges/Private Academic institutions.","TARE, Teacher, Research, Faculty, Fellowship, SERB"
Technology Development And Utilization Programme For Women,https://www.myscheme.gov.in/schemes/tdupw,"In order to meet the specific needs of women and to enhance the contribution of women towards technology capability building, the “Technology Development & Utilization Programme for Women (TDUPW)” has been formulated by the Department of Scientific and Industrial Research (DSIR).","Women, Technology, Research, Science, Capacity Building"
Deen Dayal SPARSH Yojana (Scholarship For Promotion Of Aptitude & Research In Stamps As A Hobby),https://www.myscheme.gov.in/schemes/ddsy,"""Deen Dayal SPARSH Yojana"" awards annual scholarships to students who have good academic records and are also pursuing 'Philately' as a hobby. The objective is to “Promote Philately among children at a young age in a sustainable manner that can reinforce and supplement the academic curriculum.","Scholarship, Post, Student, Pre-Matric"
National Grassroots Innovation and Outstanding Traditional Knowledge Awards,https://www.myscheme.gov.in/schemes/ngiaotk,"National Innovation Foundation (NIF)-India, an autonomous body of the Department of Science and Technology, Government of India, invites entries of unaided technological innovations and traditional knowledge developed at grassroots by an individual (Citizen of India) or group.","Awards, Science, Technology, National, Citizen Of India"
Ramanujan Fellowship,https://www.myscheme.gov.in/schemes/rf,"""Ramanujan Fellowship"" was started by the Science and Engineering Research Board, Govt. of India for brilliant Indian scientists and engineers from outside India to take up scientific research positions in India, those Indian scientists/engineers who want to return to India from abroad.","Ramanujan, Fellowship, Scientist, Engineer, Fellow, Science"
Raman-Charpak Fellowship,https://www.myscheme.gov.in/schemes/r-cf,"The “Raman-Charpak Fellowship Programme” is in honour of two Nobel Laureates in Physics, Prof C.V. Raman, Indian Nobel Laureate (1930) & Prof Georges Charpak, French Nobel Laureate (1992). The Fellowship was launched during the State visit of the President of France to India in February, 2013.","Fellowship, Raman, Charpak, France, Student"
Rashtriya Vigyan Puraskar,https://www.myscheme.gov.in/schemes/rvp,"The objective of the Rashtriya Vigyan Puraskar (RVP) is to recognise the notable and inspiring contribution made by the scientists, technologists and innovators individually or in teams in various fields of science, technology and technology- led innovation.","Science, Technology, Scientists, Awards, Development"
SERB International Research Experience,https://www.myscheme.gov.in/schemes/sire,"The Science and Engineering Research Board (SERB), a statutory body under the Department of Science and Technology, Government of India has launched ""SERB International Research Experience (SIRE)"".","SERB, International Research, SIRE, Fellowship, Fellow"
SERB - POWER Fellowship,https://www.myscheme.gov.in/schemes/serbpowerf,"The SERB - POWER Fellowship is designed to identify and reward excellent women researchers in Indian academic institutions and R&D laboratories, holding Ph.D. degrees in any branch of science and engineering.","SERB, POWER, Fellowship, Woman, Research, Science"
