Title,Link,Description,Tags
Cluster Development Scheme,https://www.myscheme.gov.in/schemes/cds-g,"The scheme aims to enhance the productivity and competitiveness as well as capacity building of Micro and Small Enterprises through cluster development approach. It provides various assistance including training, subsidies, and marketing facilities to clusters of 25 or more artisans.","Artisan, Training, Subsidy, Marketing, Handicraft, Enterprise"
Coir Udyami Yojana,https://www.myscheme.gov.in/schemes/cuy,"The scheme ""Coir Udyami Yojana"" by the Coir Board, Ministry of MSME, Government of India, aims to modernize the coir industry and generate rural employment. It offers credit-linked financial assistance to establish coir units by eligible applicants.","Credit Linked Subsidy, Coir Production, Enterprises, Coir Board"
Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana,https://www.myscheme.gov.in/schemes/cvy-sumcy,"The scheme “Skill Upgradation and Mahila Coir Yojana” is a component of “Coir Vikas Yojana” and the scheme was launched by the Ministry of Micro, Small & Medium Enterprises, Government of India.","Coir, Skill Upgradation, Mahila, MSME, Stipend, Training, Entrepreneur, Self-employment"
Gramodhyog Vikas Kendra,https://www.myscheme.gov.in/schemes/gvk,"The scheme aims to provide infrastructure facilities at village level to artisans through Common Facility Centers. Registered Non-Governmental Organizations, cooperative societies and trusts receive financial assistance up to ₹13,00,000/- for building infrastructure, training, equipment, etc.","Artisan, Infrastructure, Village, NGO, Training, Marketing"
Entrepreneurship and Skill Development Programme,https://www.myscheme.gov.in/schemes/esdp,"The O/o DC-MSME under ""Development of MSMEs"" vertical has launched the ""Entrepreneurship and Skill Development Programme (ESDP)"". The Programme is being organized regularly to nurture the talent of youth by enlightening them on various aspects of industrial/business activity required for setting up","Entrepreneurship, Skill Development, MSME, ESDP, Self-employment"
Handloom Rebate Scheme,https://www.myscheme.gov.in/schemes/hrs-g2,The scheme provides 10% special rebate for 120 festival days; Additional 5-15% permanent rebates for regular sales; Enhanced 20% rebates for women-led cooperatives. The scheme aims to enhance market competitiveness for Gujarat's handloom cooperatives and apex societies.,"Handloom, Rebate, Festival, Artisan, Women"
Incubation Scheme,https://www.myscheme.gov.in/schemes/is,Incubation Scheme aims to promote and support untapped creativity and to promote adoption of latest technologies in MSMEs that seek the validation of their ideas at the proof-of-concept level.,"Capital Support, Plant And Machinery, Financial Support, Business & Entreurprneurship"
Industrial Sector Scheme (HSFDC),https://www.myscheme.gov.in/schemes/isshsfdc,"Under this scheme, the Corporation provides loans/benefits to individuals from BPL families, whose annual family income does not exceed ₹1,80,000/-, in both rural & urban areas for various self-employment income-generating activities such as carpentry, leather and leather goods manufacturing, etc.","Industrial Sector, HSFDC, Loan, BPL, Scheduled Caste, Trade, Business, Self-Employment"
Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: Export Oriented Production: Large Cardamom Certified Nursery (Unit),https://www.myscheme.gov.in/schemes/isepqisrdceoplccn,"The scheme ""Export Oriented Production: Large Cardamom Certified Nursery (Unit)"" is a Sub-Scheme of the Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom by the Spice Board, Department of Commerce and Industry, Ministry of Commerce.","Farmer, Nursery, Export, Subsidy, Agriculture, DBT"
Loan Based Schemes For Safai Karamchari - General Term Loan (GTL),https://www.myscheme.gov.in/schemes/lbssf-gtl,"A general term loan scheme by the Ministry of Social justice and Empowerment for Safai Karamchari, Manual Scavengers, and their dependants aged 18 years and above.","Safai Karamcharis, Entrepreneurship, Loan, Financial Assistance, Credit, Sanitation, Manual Scavengers, Waste Pickers"
