Title,Link,Description,Tags
AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College/Institution,https://www.myscheme.gov.in/schemes/ai-tgses,"A Travel Grant Scheme by the All India Council for Technical Education (AICTE) and by the Indian National Academy of Engineering (INAE), for the students from AICTE approved Engineering College/institutions. The scheme aims at enhancing the quality of engineering education in the country.","Travel, Grant, Student"
AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College/Institution,https://www.myscheme.gov.in/schemes/ai-tgses,"A Travel Grant Scheme by the All India Council for Technical Education (AICTE) and by the Indian National Academy of Engineering (INAE), for the students from AICTE approved Engineering College/institutions. The scheme aims at enhancing the quality of engineering education in the country.","Travel, Grant, Student"
Baristha Nagarika Tirtha Yatra Yojana,https://www.myscheme.gov.in/schemes/bntyy,"The scheme “Baristha Nagarika Tirtha Yatra Yojana” was launched by the Department of Tourism, Government of Odisha on 01st February 2016 in collaboration with IRCTC to help senior citizens over 60-75 years of age to undertake pilgrimage with Government assistance.","Baristha Nagarika, Tirtha Yatra, Tourism, Senior Citizen, Pilgrim, Tirtha Darshan"
Basic Kayaking Course,https://www.myscheme.gov.in/schemes/kayakinguk,"The scheme aims to train and certify youth of Uttarakhand as skilled kayaking instructors with essential life-saving skills. Under this scheme, specialized training in life-saving techniques and kayaking is provided to selected youth beneficiaries of Uttarakhand.","Kayaking, Trainer, Kayaking Course"
Bed & Breakfast/Homestay Scheme- Punjab,https://www.myscheme.gov.in/schemes/bbhs,"The scheme ""Bed & Breakfast/Homestay Scheme” is implemented by the Department of Tourism & Cultural Affairs, Government of Punjab with the aim of providing comfortable Bed & Breakfast (BnB)/Home Stay Facilities and supplementing the availability of accommodation across the State.","Bed, Breakfast, Homestay, Tourism, Certificate"
Assistance to Pilgrims for Kailash Mansarovar Yatra - Rajasthan,https://www.myscheme.gov.in/schemes/apkmy,"The objective of this scheme is to provide financial support to residents of Rajasthan who successfully complete the Kailash Mansarovar Yatra organized by the Ministry of External Affairs, Govt. of India. Under this scheme, each pilgrim is granted financial assistance of up to ₹1,00,000/-.","Financial Assistance, Tourism, Pilgrim, Yatra, Mansarovar, Kailash"
Atithi Uttarakhand Home-Stay Registration,https://www.myscheme.gov.in/schemes/copy-of-ddugavy,"The scheme aims to promote rural tourism and generate local employment by enabling residents to register their homes as certified home-stays that offer safe, affordable accommodation and meal facilities to tourists in Uttarakhand.","Homestay, Tourism, Guest, Registration, Tourist"
"Capital Investment Subsidy For Creation of Infrastructure Along With Installation of Equipment To Establish Film Studio, Film Making, Museum, Aquarium, Theme Park",https://www.myscheme.gov.in/schemes/cisciieefsfmmatp,"The scheme aims to promote private investment in the creation of film studios, museums, aquariums, and theme parks. It provides a 15% capital subsidy up to ₹5,00,00,000/- to investors who meet the minimum capital expenditure requirements.","Subsidy, Capital, Investment, Tourism, Equipment"
Capital Investment Subsidy For Expansion Of Established Star/Deluxe/Standard Hotel/Resort/Heritage Hotel,https://www.myscheme.gov.in/schemes/ciseesdshrhh,"The scheme aims to encourage the expansion of existing tourism accommodation units by incentivizing private investment in the state. The scheme provides a capital investment subsidy of 15% against the fixed capital investment, subject to a maximum ceiling of ₹5,00,00,000/-.","Subsidy, Capital, Investment, Resort, Tourism, Hotel"
"Capital Investment Subsidy For Creation Of Infrastructure And Installation Of Permanent Facility/ Acquisition Of Equipment/Tents And Facilities To Establish Adventure Tourism, Water Tourism, Water Sports, Cruise/House Boat, Navigation Infrastructure, Amusement Park, Water Park, Sound And Light Show, Laser Show, Camping (Including Tents)",https://www.myscheme.gov.in/schemes/cisciipfaetfeatwtwschbniapwpslscit,"The scheme aims to promote adventure and water tourism by financially incentivizing the creation of permanent infrastructure and the acquisition of equipment. It provides a 15% capital subsidy up to ₹3,00,00,000/- to private investors establishing projects such as amusement parks, water sports, etc.","Subsidy, Capital, Investment, Tourism, Infrastructure"
Capital Investment Subsidy for Establishment of 500 or More Seater Convention Centre as Above cum Hotel under MICE,https://www.myscheme.gov.in/schemes/cise5msccahm,"The scheme aims to boost MICE tourism by incentivizing the creation of large convention centers. It provides a 15% capital subsidy up to ₹10,00,00,000/- to investors establishing convention centers with a 500+ seating capacity and a minimum investment of ₹20,00,00,000/-.","Subsidy, Capital, Investment, Resort, Tourism, Hotel"
Capital Investment Subsidy for Creation of Infrastructure,https://www.myscheme.gov.in/schemes/cisci,"The scheme aims to support the creation of essential infrastructure on leased tourism lands. It provides a 25% capital investment subsidy up to ₹3,00,00,000/- to private investors establishing power, water, road, and drainage systems for tourism projects.","Subsidy, Capital, Investment, Tourism, Infrastructure"
Capital Investment Subsidy for Establishment of New Hotel or Mini Resort of Standard Category,https://www.myscheme.gov.in/schemes/cisenhmrsc,"The scheme aims to encourage the establishment of new standard category hotels and mini resorts in Madhya Pradesh. It provides a 15% capital subsidy up to ₹50,00,000/- to private investors and entrepreneurs creating tourism accommodation infrastructure.","Subsidy, Capital, Investment, Resort, Tourism, Hotel"
Capital Investment Subsidy for Establishment of Heritage Hotel where the Heritage Assets are obtained from Tourism Department on Lease,https://www.myscheme.gov.in/schemes/cisehhhatdl,"The scheme aims to promote the establishment of heritage hotels in properties leased from the Tourism Department. It provides a 15% capital investment subsidy up to ₹5,00,00,000/- to investors who establish heritage hotels in these leased assets.","Subsidy, Capital, Investment, Heritage, Tourism, Hotel"
Capital Investment Subsidy for Establishment of Way Side Amenities Under Green Field or Franchise Model,https://www.myscheme.gov.in/schemes/cisewsagffm,"The scheme aims to enhance the tourism experience by subsidizing the development of wayside amenities under Green Field or Franchise models. It offers a 15% capital investment subsidy capped at ₹50,00,000/- to investors who establish approved facilities with a minimum capital expenditure.","Subsidy, Capital, Investment, Tourism, Infrastructure"
Capital Investment Subsidy for Establishment of New Resort and Wellness Centre,https://www.myscheme.gov.in/schemes/cisenrwc,"The scheme provides a capital investment subsidy of 15% against fixed capital investment, subject to a maximum ceiling of ₹50,00,000/-. The applicant must invest a minimum capital expenditure of ₹2,00,00,000/- and ensure the availability of a minimum of air-conditioned lettable rooms.","Subsidy, Capital, Investment, Resort, Tourism"
Capital Investment Subsidy to Establish a New Deluxe/Three Star or Higher Category New Hotel and Resort,https://www.myscheme.gov.in/schemes/cisendtshcnhr,"The scheme provides a capital investment subsidy of 15% on fixed capital investment, subject to a maximum ceiling of ₹5,00,00,000/-. The applicant must invest a minimum of ₹10,00,00,000/- in capital expenditure and ensure the establishment of at least 50 lettable air-conditioned rooms.","Subsidy, Capital, Investment, Resort, Tourism, Hotel"
"Capital Subsidy for Establishment of Sea Plane, Amphibian Tourist Vehicle and Aero Sports and Aero Sports Training Centre/Academy",https://www.myscheme.gov.in/schemes/csespatvasastca,"The scheme aims to encourage private investment in niche adventure tourism sectors such as sea planes, amphibian vehicles, and aero sports academies in Madhya Pradesh. It provides eligible investors with a 25% capital subsidy on fixed capital investment, up to ₹10,00,00,000/-.","Subsidy, Capital, Investment, Tourism, Infrastructure"
Capital Subsidy for Heritage Hotel under Proprietorship,https://www.myscheme.gov.in/schemes/cshhp,"The scheme aims to encourage the establishment of heritage hotels through private investment by providing financial assistance to proprietors. The scheme provides a capital subsidy of 15% on fixed capital investment, subject to a maximum ceiling of ₹2,00,00,000/-. The applicants must be proprietors.","Subsidy, Capital, Investment, Heritage, Tourism"
Capital Subsidy to Existing Hotels for Renovation/Modernization & Upgradation,https://www.myscheme.gov.in/schemes/csehrmu,"The scheme aims to incentivize existing hotels and resorts in Madhya Pradesh to upgrade their facilities to Deluxe, 4-Star, or higher categories. It provides capital subsidy benefits to private investors and hotel owners who undertake significant renovation and modernization projects.","Subsidy, Capital, Investment, Tourism, Infrastructure"
Capital Investment Subsidy for Establishment of 500 or More Seater Convention Centre as Above cum Hotel under MICE,https://www.myscheme.gov.in/schemes/cise5msccahm,"The scheme aims to boost MICE tourism by incentivizing the creation of large convention centers. It provides a 15% capital subsidy up to ₹10,00,00,000/- to investors establishing convention centers with a 500+ seating capacity and a minimum investment of ₹20,00,00,000/-.","Subsidy, Capital, Investment, Resort, Tourism, Hotel"
Capital Investment Subsidy for Creation of Infrastructure,https://www.myscheme.gov.in/schemes/cisci,"The scheme aims to support the creation of essential infrastructure on leased tourism lands. It provides a 25% capital investment subsidy up to ₹3,00,00,000/- to private investors establishing power, water, road, and drainage systems for tourism projects.","Subsidy, Capital, Investment, Tourism, Infrastructure"
Capital Investment Subsidy for Establishment of New Hotel or Mini Resort of Standard Category,https://www.myscheme.gov.in/schemes/cisenhmrsc,"The scheme aims to encourage the establishment of new standard category hotels and mini resorts in Madhya Pradesh. It provides a 15% capital subsidy up to ₹50,00,000/- to private investors and entrepreneurs creating tourism accommodation infrastructure.","Subsidy, Capital, Investment, Resort, Tourism, Hotel"
Capital Investment Subsidy for Establishment of Heritage Hotel where the Heritage Assets are obtained from Tourism Department on Lease,https://www.myscheme.gov.in/schemes/cisehhhatdl,"The scheme aims to promote the establishment of heritage hotels in properties leased from the Tourism Department. It provides a 15% capital investment subsidy up to ₹5,00,00,000/- to investors who establish heritage hotels in these leased assets.","Subsidy, Capital, Investment, Heritage, Tourism, Hotel"
Capital Investment Subsidy for Establishment of Way Side Amenities Under Green Field or Franchise Model,https://www.myscheme.gov.in/schemes/cisewsagffm,"The scheme aims to enhance the tourism experience by subsidizing the development of wayside amenities under Green Field or Franchise models. It offers a 15% capital investment subsidy capped at ₹50,00,000/- to investors who establish approved facilities with a minimum capital expenditure.","Subsidy, Capital, Investment, Tourism, Infrastructure"
Capital Investment Subsidy for Establishment of New Resort and Wellness Centre,https://www.myscheme.gov.in/schemes/cisenrwc,"The scheme provides a capital investment subsidy of 15% against fixed capital investment, subject to a maximum ceiling of ₹50,00,000/-. The applicant must invest a minimum capital expenditure of ₹2,00,00,000/- and ensure the availability of a minimum of air-conditioned lettable rooms.","Subsidy, Capital, Investment, Resort, Tourism"
Capital Investment Subsidy to Establish a New Deluxe/Three Star or Higher Category New Hotel and Resort,https://www.myscheme.gov.in/schemes/cisendtshcnhr,"The scheme provides a capital investment subsidy of 15% on fixed capital investment, subject to a maximum ceiling of ₹5,00,00,000/-. The applicant must invest a minimum of ₹10,00,00,000/- in capital expenditure and ensure the establishment of at least 50 lettable air-conditioned rooms.","Subsidy, Capital, Investment, Resort, Tourism, Hotel"
