Title,Link,Description,Tags
Gargi Puruskar Yojana,https://www.myscheme.gov.in/schemes/gpy,The benefit of Gargi Puraskar Yojana is given every year to the beneficiary girl child of Rajasthan on the day of Basant Panchami. This time also the beneficiary girl students were taken on a tour of the girl students on the occasion of Basant Panchami very year.,"Financial Assistance, Scholarship, Girl Education"
Indira Gandhi National Widow Pension Scheme,https://www.myscheme.gov.in/schemes/ignwps,A non-contributory pension scheme to provide social security to widows of poor family (BPL)  of the society.,"Widow, Pension, Below Poverty Line - BPL"
Financial Assistance To Dependent Children Of Widows And Destitute Women,https://www.myscheme.gov.in/schemes/fsdcwdw,"The scheme ""Financial Assistance To Dependent Children of Widows And Destitute Women"" is a Social Welfare scheme by the Dept. of Social Welfare, Women & Child Development, Govt. of Chandigarh; to extend financial assistance (₹ 1000/- per month per child) to children who are fatherless or orphan.","Women, Widow, Social Welfare, Financial Assistance, Destitute"
Indo-French Postdoctoral Research Programme for Women in Science,https://www.myscheme.gov.in/schemes/prowis-i,This programme will provide a platform for women candidates to engage & work with Indian/French scientific communities with an aim to accelerate their talented instincts towards carrying out advanced studies and research in the frontier areas of Science & Technology.,"Postdoctoral, Research, Woman, Science, French, Fellowship, CEFIPRA"
Indo-French Visiting/Mobility Programme for Women in Science,https://www.myscheme.gov.in/schemes/prowis-ii,This programme will encourage women candidates to work with the Indian/French scientific communities with an aim to accelerate their talented instincts towards carrying out advanced studies and research in the frontier areas of Science & Technology.,"French, Mobility, Woman, Science, France, Scientist, Researcher"
Mahila Adhikarita Yojana under NSKFDC- Haryana,https://www.myscheme.gov.in/schemes/maynskfdc-h,"Under this scheme, loan is provided to woman Safai Karamchari and their dependent daughters for projects with a maximum project cost of up to ₹2,00,000/- for small and petty trade/businesses, and various income-generating activities such as beauty parlors, boutiques, cosmetic shop, bangle shop, etc.","Mahila, Adhikarita, NSKFDC, Woman, Self-Employment, Loan, HSFDC, Safai Karamchari"
Mahila Samman Savings Certificate,https://www.myscheme.gov.in/schemes/mssc,"The scheme “Mahila Samman Savings Certificate” was launched by the Department of Economic Affairs, Ministry of Finance to provide financial security to every girl and woman in India.","Mahila, Woman, Girl, Saving, Investment"
Mai Bhago Vidya Scheme,https://www.myscheme.gov.in/schemes/mbvs,The government of Punjab launched Mai BhagoVidya Scheme in the State during 2011-12.,"Girl Welfare, Girl Empowerment, Education, Free Cycle"
Mahila Samruddhi Yojana (DAADC),https://www.myscheme.gov.in/schemes/msydaadc,"The scheme aims to promote self-employment and financial independence among women from the Antyodaya Samaj, especially from Scheduled Castes. Under this scheme, loan up to ₹50,000/- is provided at a concessional interest rate to eligible women for starting small-scale businesses.","Loan, Woman, Scheduled Caste, Self-employment, Antyodaya Samaj"
Internship Programme for Women Students / Scholars / Social Activists / Teachers,https://www.myscheme.gov.in/schemes/ipmwcd,"The Ministry of Women and Child Development launched the Internship Programme aims to harness the talent of the trainees, giving them an opportunity to work towards bringing more efficiency in the implementation of the schemes.","Internship Programme, Women Student, Teachers, Scholars, Opportunity, Social Activist"
Janani Shishu Suraksha Karyakram,https://www.myscheme.gov.in/schemes/jssk,"A scheme by Ministry of MoHFW for pregnant women who access government health facilities for their delivery. to absolutely free and no expense delivery, including caesarean section. Essential care is provided to the mother and her neonate within 48 hours.","Pregnant, Newborn, Medicine, Free Diet, Woman"
