Scheme_ID,Title,Category,Description,Tags,Link
9c6243cc,Coffee Development Programme in North Eastern Region: Expansion of Coffee,Agriculture,"The scheme ""Coffee Development Programme in North Eastern Region: Expansion of Coffee"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry, aims to facilitate afforestation in the Jhum lands and help settle the tribals on a permanent footing.","Agriculture, Farmer, DBT, Subsidy",https://www.myscheme.gov.in/schemes/cdpnerec
f595e537,Coffee Development Programme in North Eastern Region: Consolidation of Coffee,Agriculture,"The scheme ""Consolidation of Coffee"" aims to increase the productivity of the existing coffee holdings by gap filling or rejuvenation, followed by improved cultivation methods such as application of compost, bush management, shade management, pest and disease control, etc.","Agriculture, Farmer, Subsidy, DBT, Financial Assistance",https://www.myscheme.gov.in/schemes/cdpnercc
ea14bce9,Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Drying Yards,Agriculture,"The scheme ""Quality Upgradation / Certification: Drying Yards"" aims to facilitate the improvement of the quality of coffee produced by growers by encouraging them to establish infrastructure for quality enhancement and obtain certification for their coffees, enabling them to earn better returns.","Agriculture, Farmer, Subsidy, DBT",https://www.myscheme.gov.in/schemes/cdpnerqucdy
8acde3d8,Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Supply of Baby Pulpers,Agriculture,"The scheme ""Supply of Baby Pulpers"" aims to facilitate the improvement of the quality of coffee produced by growers by encouraging them to establish infrastructure for quality enhancement and obtain certification for their coffees, enabling them to earn better returns.","Agriculture, Farmer, Subsidy, DBT",https://www.myscheme.gov.in/schemes/cdpnerqucsbp
aaa62464,Coffee Development Programme in North Eastern Region: Support for Group Nurseries,Agriculture,"The scheme ""Coffee Development Programme in North Eastern Region: Support for Group Nurseries"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry, aims to provide growers with high-quality coffee seedlings to ensure the proper establishment of plantations.","Agriculture, Farmer, Subsidy, Financial Assistance, DBT",https://www.myscheme.gov.in/schemes/cdpnersgn
2044fb8c,Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification,Agriculture,The scheme aims to encourage coffee growers to improve quality for higher returns and improve access to high-value specialty markets through the production of eco-certified coffees. It also encourages small growers to form groups/collectives to take up eco-certification.,"Agriculture, Farmer, Subsidy, DBT",https://www.myscheme.gov.in/schemes/cdpnerqucsecoc
c44a867f,Coffee Development Programme in North Eastern Region: Water Augmentation,Agriculture,"The scheme ""Coffee Development Programme in North Eastern Region: Water Augmentation"" aims to improve the productivity and quality of coffee by facilitating the creation of infrastructure for water augmentation for irrigation and wet processing of coffee.","Agriculture, Farmer, Subsidy, DBT",https://www.myscheme.gov.in/schemes/cdpnerwa
cd53f15a,Construction of Water Storage Tanks for Drip Irrigation,Agriculture,"The scheme provides financial assistance to farmers across Gujarat for constructing water storage tanks to support drip irrigation, with cost-sharing benefits based on farmer category.","Agriculture, Drip Irrigation, Farmer, Water Tank",https://www.myscheme.gov.in/schemes/cwsdi
22eb7967,Crop Input Subsidy to the Farmers for Crop Loss Due to Natural Calamities,Agriculture,"The scheme provides financial assistance to farmers in Gujarat who suffer crop losses due to natural calamities, based on crop damage surveys conducted by the district administration.","Crop Loss, Natural Calamity, Disaster Compensation, Crop Damage Support",https://www.myscheme.gov.in/schemes/cisfnc
2ed2bbcd,Goat Rearing Scheme,Agriculture,"The scheme aims to increase the income and raise the living standards of tribal women beneficiaries. Through this scheme, financial assistance is provided for setting up goat units.","Women, BPL, Disability, Scheduled Tribe, Farmer",https://www.myscheme.gov.in/schemes/grsguj
2813928f,Integrated Dairy Development Scheme Gujarat,Agriculture,"Under this scheme, tribal women beneficiaries are provided with milch cattle, dairy equipment, and financial assistance of up to ₹90,000 per unit.","Financial Assistance, Women, Animal Husbandry, Subsidy",https://www.myscheme.gov.in/schemes/iddsg
7ef53921,Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: Export Oriented Production: Large Cardamom Certified Nursery (Unit),Agriculture,"The scheme ""Export Oriented Production: Large Cardamom Certified Nursery (Unit)"" is a Sub-Scheme of the Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom by the Spice Board, Department of Commerce and Industry, Ministry of Commerce.","Farmer, Nursery, Export, Subsidy, Agriculture, DBT",https://www.myscheme.gov.in/schemes/isepqisrdceoplccn
