Title,Link,Description,Tags
Coffee Development Programme in North Eastern Region: Expansion of Coffee,https://www.myscheme.gov.in/schemes/cdpnerec,"The scheme ""Coffee Development Programme in North Eastern Region: Expansion of Coffee"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry, aims to facilitate afforestation in the Jhum lands and help settle the tribals on a permanent footing.","Agriculture, Farmer, DBT, Subsidy"
Coffee Development Programme in North Eastern Region: Consolidation of Coffee,https://www.myscheme.gov.in/schemes/cdpnercc,"The scheme ""Consolidation of Coffee"" aims to increase the productivity of the existing coffee holdings by gap filling or rejuvenation, followed by improved cultivation methods such as application of compost, bush management, shade management, pest and disease control, etc.","Agriculture, Farmer, Subsidy, DBT, Financial Assistance"
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Drying Yards,https://www.myscheme.gov.in/schemes/cdpnerqucdy,"The scheme ""Quality Upgradation / Certification: Drying Yards"" aims to facilitate the improvement of the quality of coffee produced by growers by encouraging them to establish infrastructure for quality enhancement and obtain certification for their coffees, enabling them to earn better returns.","Agriculture, Farmer, Subsidy, DBT"
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Supply of Baby Pulpers,https://www.myscheme.gov.in/schemes/cdpnerqucsbp,"The scheme ""Supply of Baby Pulpers"" aims to facilitate the improvement of the quality of coffee produced by growers by encouraging them to establish infrastructure for quality enhancement and obtain certification for their coffees, enabling them to earn better returns.","Agriculture, Farmer, Subsidy, DBT"
Coffee Development Programme in North Eastern Region: Support for Group Nurseries,https://www.myscheme.gov.in/schemes/cdpnersgn,"The scheme ""Coffee Development Programme in North Eastern Region: Support for Group Nurseries"" by the Coffee Board, Department of Commerce, Ministry of Commerce and Industry, aims to provide growers with high-quality coffee seedlings to ensure the proper establishment of plantations.","Agriculture, Farmer, Subsidy, Financial Assistance, DBT"
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification,https://www.myscheme.gov.in/schemes/cdpnerqucsecoc,The scheme aims to encourage coffee growers to improve quality for higher returns and improve access to high-value specialty markets through the production of eco-certified coffees. It also encourages small growers to form groups/collectives to take up eco-certification.,"Agriculture, Farmer, Subsidy, DBT"
Coffee Development Programme in North Eastern Region: Water Augmentation,https://www.myscheme.gov.in/schemes/cdpnerwa,"The scheme ""Coffee Development Programme in North Eastern Region: Water Augmentation"" aims to improve the productivity and quality of coffee by facilitating the creation of infrastructure for water augmentation for irrigation and wet processing of coffee.","Agriculture, Farmer, Subsidy, DBT"
Construction of Water Storage Tanks for Drip Irrigation,https://www.myscheme.gov.in/schemes/cwsdi,"The scheme provides financial assistance to farmers across Gujarat for constructing water storage tanks to support drip irrigation, with cost-sharing benefits based on farmer category.","Agriculture, Drip Irrigation, Farmer, Water Tank"
Crop Input Subsidy to the Farmers for Crop Loss Due to Natural Calamities,https://www.myscheme.gov.in/schemes/cisfnc,"The scheme provides financial assistance to farmers in Gujarat who suffer crop losses due to natural calamities, based on crop damage surveys conducted by the district administration.","Crop Loss, Natural Calamity, Disaster Compensation, Crop Damage Support"
Goat Rearing Scheme,https://www.myscheme.gov.in/schemes/grsguj,"The scheme aims to increase the income and raise the living standards of tribal women beneficiaries. Through this scheme, financial assistance is provided for setting up goat units.","Women, BPL, Disability, Scheduled Tribe, Farmer"
