Title,Link,Description,Tags
Gramodhyog Vikas Kendra,https://www.myscheme.gov.in/schemes/gvk,"The scheme aims to provide infrastructure facilities at village level to artisans through Common Facility Centers. Registered Non-Governmental Organizations, cooperative societies and trusts receive financial assistance up to ₹13,00,000/- for building infrastructure, training, equipment, etc.","Artisan, Infrastructure, Village, NGO, Training, Marketing"
Jharkhand Petrol Subsidy Scheme,https://www.myscheme.gov.in/schemes/jpss,"The scheme ""Petrol Subsidy Scheme"" implemented by the Food, Public Distribution & Consumer Affairs Department, Government of Jharkhand, aims to provide a petrol subsidy of ₹250 per month for two-wheelers to eligible NFSA/Jharkhand State Food Security Scheme beneficiaries.","Subsidy, Petrol, Rural, Two-wheelers"
Shahari Waqf Sampatti Vikas Yojana,https://www.myscheme.gov.in/schemes/swsvy,"Under the scheme, interest free loan to Waqf Boards (WBs)/waqf institutions is granted to various Waqf Boards and Waqf Institutions in the country for construction of economically viable buildings on the Waqf land, such as commercial complex, marriage halls, hospitals, cold storage etc..","Waqf Boards, Interest Free Loan, Waqf Institutions, Waqf Property, Grant In Aid"
Scheme for Grant of Financial Assistance for Administering Road Safety Advocacy and Awards for the Outstanding Work Done in the Field of Road Safety,https://www.myscheme.gov.in/schemes/sgfaarsaaowdfrs,"The objective of the Scheme is to stimulate and encourage opportunities for various agencies through participation, in order to create awareness on road safety.","Financial Assistance, Road Safety, Advocacy, Award, NGO, Trust, Cooperative Society"
Agricultural Marketing Infrastructure,https://www.myscheme.gov.in/schemes/ami,The revitalized and farmers’ income enhancing centric sub-scheme Agricultural Marketing Infrastructure (AMI) of Integrated Scheme for Agricultural Marketing (ISAM) is meant for holistic development of agricultural value chain critically focusing each linkage of post-harvest value chain.,"Agricultural Marketing, Storage Infrastructure, Promoter, Farmer"
Vehicle Loan Scheme (GTKVN),https://www.myscheme.gov.in/schemes/tsgtkvn,"The scheme aims to promote self-employment among youth from the Thakor and Koli communities by providing loans of up to ₹4,00,000/- for the purchase of commercial vehicles such as auto-rickshaws, loading rickshaws, or a Maruti Eeco van to start an income-generating transport business.","Loan, Self Employment, Auto Rickshaw, Vehicle, Transport"
Scheme for Grant of Financial Assistance for Administering Road Safety Advocacy and Awards for the Outstanding Work Done in the Field of Road Safety,https://www.myscheme.gov.in/schemes/sgfaarsaaowdfrs,"The objective of the Scheme is to stimulate and encourage opportunities for various agencies through participation, in order to create awareness on road safety.","Financial Assistance, Road Safety, Advocacy, Award, NGO, Trust, Cooperative Society"
Shahari Waqf Sampatti Vikas Yojana,https://www.myscheme.gov.in/schemes/swsvy,"Under the scheme, interest free loan to Waqf Boards (WBs)/waqf institutions is granted to various Waqf Boards and Waqf Institutions in the country for construction of economically viable buildings on the Waqf land, such as commercial complex, marriage halls, hospitals, cold storage etc..","Waqf Boards, Interest Free Loan, Waqf Institutions, Waqf Property, Grant In Aid"
"""Infrastructure Development Subsidy (For IT/ITES)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",https://www.myscheme.gov.in/schemes/ids-mesifa-cii,"Through this scheme, 30% Subsidy subject to a max. of ₹1,00,00,000/- will be granted on the investment made on building with a minimum extent of 50,000 sq.ft. constructed area, by the infrastructure developers/industries for leasing out to Information Technology industries or for own industrial use.","Infrastructure, Subsidy, Industry, MSME, Entrepreneur"
"""Infrastructure Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/infs-mesifai,"The ""Infrastructure Subsidy"" is a Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme by the Industries and Commerce Department, Puducherry. 25% subsidy is provided to the industrial units who have made investments on buildings.","Infrastructure, Subsidy, Entrepreneurship, Industry"
AICTE - Grant For Augmenting Infrastructure In North Eastern Region,https://www.myscheme.gov.in/schemes/a-gainer,"The scheme ""AICTE - Grant for Augmenting Infrastructure in North Eastern Region (GAINER)"" was introduced by AICTE to enhance the functional efficiency of the technical institutes located in far-flung areas of North East India, by addressing deficiencies in water, electricity, and internet.","Grant, Infrastructure"
Atal Mission For Rejuvenation And Urban Transformation,https://www.myscheme.gov.in/schemes/amrut,"Providing basic services (e.g. water supply, sewerage, urban transport) to households and building amenities in cities which will improve the quality of life for all, especially the poor and the disadvantaged is a national priority.","Basic Services, Parks, Green Space, Urban Transport, Non-Motorized, Sewerage, Septage Management, Storm Water, Drainage"
Auto Rickshaw Regulation Scheme,https://www.myscheme.gov.in/schemes/arrs,The scheme aims to regulate auto rickshaw operations by enforcing standardized permits and compliance conditions statewide to ensure safety and uniformity.,"Auto Rickshaws, Motor Vehicle, Rickshaw Operators, Road Safety, Permit, Driver"
